ID_Cliente,Nome,Idade,Estado,Cidade,Renda_Mensal,Score_Credito,Tempo_Banco_Meses,Tempo_Emprego,Tipo_Emprego,Escolaridade,Historico_Inadimplencia,Qtde_Emprestimos_Ativos,Qtde_Cartoes,Valor_Solicitado,Renda_Anual,Patrimonio_Liquido,Divida_Total,Parcelas_Mensais,Limite_Credito,Utilizacao_Credito,Endividamento_%,Valor_vs_Renda,Aprovado
CL_0014,Maria Luiza Rezende,53,MT,Jesus de Garcia,25525,758,230,182,CLT,Médio,0,3,2,41954,306300,36308,1224146.7182258556,1806.3629194665857,88862.20882183147,0.89,7.1,1.64,1
CL_0015,Maria Luísa Viana,57,TO,Peixoto de Moura,18009,838,96,227,Outros,Fundamental,0,0,5,70519,216108,24826,1047753.0383904616,5045.20166660628,197220.46130712674,0.4,28.0,3.92,1
CL_0016,Diego Cassiano,41,AP,Fernandes do Galho,16647,681,185,101,PJ,Superior,1,1,5,57115,199764,61326,477377.6399174759,5977.801067020243,103644.54417540024,0.62,35.9,3.43,0
CL_0017,Ryan Borges,20,PB,Cunha Verde,6132,739,115,74,PJ,Superior,0,1,4,44151,73584,1441,214195.7167147511,1545.0472442029918,21237.09520360559,0.89,25.2,7.2,1
CL_0018,Sofia Araújo,39,SE,Vasconcelos,7788,903,185,160,CLT,Fundamental,1,4,2,18040,93456,13752,213037.3374964462,1354.386729347656,80875.25297894143,0.21,17.4,2.32,0
CL_0019,Ana Julia Barros,19,AC,Casa Grande das Flores,5096,320,227,189,PJ,Fundamental,1,3,5,45772,61152,22139,206424.3391368479,1718.974423328351,19336.208295373526,0.98,33.7,8.98,0
CL_0020,Júlia Fonseca,41,SP,das Neves Verde,12975,602,148,215,PJ,Pós-graduação,0,2,2,97090,155700,55214,496155.2501634568,4202.332657264723,56734.353197012846,0.7,32.4,7.48,1
CL_0021,Emanuelly Rocha,61,AM,Pacheco,7668,383,65,150,PJ,Fundamental,0,1,3,64832,92016,57539,17242.470788436567,1843.8760655259655,78037.67222952958,0.5,24.0,8.45,0
CL_0022,Dom Santos,47,SE,Rodrigues,11295,958,118,142,Outros,Médio,0,3,3,28916,135540,32481,372964.2848304659,1174.980666840968,49660.86574257504,0.43,10.4,2.56,1
CL_0023,Ian Câmara,55,AL,Costela,9061,752,115,154,CLT,Superior,1,0,3,45871,108732,5064,58017.85000141145,1249.0159908639414,49942.43304298685,0.95,13.8,5.06,0
CL_0024,Samuel da Rosa,19,MG,Sales,9758,686,222,202,Autônomo,Médio,1,4,5,27372,117096,479,26847.73905648494,3010.044310207207,47075.73776791522,0.21,30.8,2.81,0
CL_0025,Bella Silveira,38,SC,Vargas das Flores,18116,806,49,191,Autônomo,Médio,1,0,3,62707,217392,28382,864538.873953592,6016.844577903078,41311.78973596598,0.31,33.2,3.46,0
CL_0026,Pedro Miguel Dias,50,ES,Pereira das Flores,28232,556,205,208,CLT,Médio,0,1,4,40080,338784,48848,463247.9310187048,4171.076065378629,40311.17228487635,0.31,14.8,1.42,0
CL_0027,Luiz Felipe Rocha,29,BA,da Rosa do Sul,27245,869,59,178,CLT,Superior,0,1,4,43722,326940,17967,578425.4777447172,4871.263699783901,244386.21731270582,0.29,17.9,1.6,1
CL_0028,Vitor Gabriel Nogueira,39,PB,Farias,28234,826,120,180,Outros,Superior,0,0,5,30048,338808,9024,140271.4176890965,2178.8505268499507,228596.8171292125,0.47,7.7,1.06,1
CL_0029,Leonardo da Mota,61,GO,Monteiro da Mata,7871,461,47,205,CLT,Superior,1,1,2,86205,94452,16668,92520.5771606408,2359.030648457452,32318.536494724663,0.99,30.0,10.95,0
CL_0030,Isabel Albuquerque,42,RO,Costela,22090,462,163,218,CLT,Pós-graduação,0,3,1,10777,265080,76608,1020945.9735965005,1132.1597860751424,93917.63138007562,0.89,5.1,0.49,0
CL_0031,José Miguel Garcia,66,PE,Gomes do Oeste,27569,823,147,81,Outros,Superior,0,1,2,55711,330828,329776,833124.5057705679,1827.536119470971,314150.5087494297,0.33,6.6,2.02,1
CL_0032,Emanuella Cavalcanti,44,MT,Montenegro,15869,570,200,91,CLT,Médio,0,4,2,37331,190428,54084,840792.0765338483,817.5776040830029,188275.88429875116,0.42,5.2,2.35,0
CL_0033,Fernando Martins,59,CE,Pinto das Pedras,14410,791,6,178,CLT,Médio,0,3,2,21968,172920,54576,353878.4359289012,3975.1693185632703,89454.16651157277,0.67,27.6,1.52,1
CL_0034,Emanuel Sales,45,SE,da Conceição,9443,507,150,174,CLT,Superior,0,2,2,54969,113316,21718,160527.25360638025,1851.6353264066915,92796.07015839919,0.02,19.6,5.82,0
CL_0035,Alice Gonçalves,33,SC,Barros,13699,838,49,238,CLT,Superior,0,1,1,12292,164388,140163,296430.8676662207,2111.5825792747987,124709.45794887881,0.82,15.4,0.9,1
CL_0036,Henrique Sá,32,AL,Vieira de Minas,17228,883,221,3,CLT,Superior,0,1,3,41794,206736,42237,742715.9885721029,6364.804552251305,73572.08449420899,0.88,36.9,2.43,0
CL_0037,Heloisa Azevedo,64,RJ,Silva,24775,359,145,134,CLT,Superior,0,4,2,80459,297300,117012,838245.6132867094,2910.591233339526,40734.802684593364,0.86,11.7,3.25,0
CL_0038,Bruno Pires,68,TO,Sá,8238,729,200,108,PJ,Fundamental,1,4,4,51192,98856,57628,447870.7574676338,1534.5647843326922,21156.162909053997,0.38,18.6,6.21,0
CL_0039,Sr. Miguel Aragão,61,RR,Martins,17413,956,49,162,CLT,Médio,1,0,5,28703,208956,111049,637446.8091444753,6601.427286344229,177982.37005267723,0.46,37.9,1.65,0
CL_0040,Josué Vargas,69,CE,Lopes da Mata,3972,904,80,47,PJ,Médio,0,0,5,85193,47664,4578,119912.5774564056,792.3635436560564,35920.19422327752,0.01,19.9,21.45,0
CL_0041,Heloísa Pereira,20,AC,Pereira,28736,608,126,72,PJ,Médio,1,0,4,70165,344832,5650,1362151.3480882186,7015.68721276385,238729.58699514816,0.4,24.4,2.44,0
CL_0042,Matheus Vasconcelos,54,PE,Nunes de Fogaça,20623,819,77,71,CLT,Fundamental,0,4,2,68650,247476,9334,1173757.8474961394,1611.0255197418899,50261.07941687976,0.46,7.8,3.33,1
CL_0043,Ana Vitória Correia,68,DF,Carvalho,23285,890,105,115,PJ,Superior,0,0,1,57516,279420,3411,515151.2761483414,7603.908511584995,187193.64663014017,0.91,32.7,2.47,1
CL_0044,Gabriela Barros,24,SC,Borges do Sul,17179,326,139,172,CLT,Superior,1,0,3,92110,206148,4591,273021.05676864524,3400.8505610595957,163091.85392992254,0.89,19.8,5.36,0
CL_0045,Srta. Sophia Fernandes,38,SE,Rios da Mata,3261,985,92,80,CLT,Médio,1,2,5,98885,39132,1597,122070.91384373307,1076.717937460479,34131.64536923848,0.97,33.0,30.32,0
CL_0046,Ayla Gomes,26,PR,Jesus dos Dourados,29590,861,146,80,CLT,Médio,1,0,3,23257,355080,29626,903492.8305430684,4107.955285131133,33896.649064730795,0.89,13.9,0.79,0
CL_0047,Ana Andrade,56,CE,Farias,11667,498,71,112,Autônomo,Médio,0,1,1,84509,140004,21959,692601.0923945088,2308.52085397999,99510.48114977819,0.01,19.8,7.24,0
CL_0048,Mathias Freitas,35,RJ,da Conceição de Minas,12054,686,63,224,CLT,Médio,0,4,5,92273,144648,35979,342175.3660316666,3921.0713076303423,14586.234547051286,0.64,32.5,7.65,1
CL_0049,João Felipe Rezende,21,PI,Novais da Mata,18760,648,140,95,CLT,Superior,1,3,3,52672,225120,10666,104506.24232698121,7332.481418408539,164630.28040634398,0.07,39.1,2.81,0
CL_0050,Sr. Vitor Hugo Barbosa,42,AP,Oliveira,15777,992,52,71,PJ,Superior,0,2,1,64308,189324,42269,925625.5583070592,1118.0991643902794,126087.18098514524,0.27,7.1,4.08,1
CL_0051,Lunna da Costa,31,RS,da Costa da Prata,5312,835,5,146,CLT,Superior,0,4,3,78583,63744,15531,269865.0706735816,1776.1185250572269,13980.262326081402,0.58,33.4,14.79,0
CL_0052,Sra. Catarina Costela,67,RN,Casa Grande,29524,677,207,62,CLT,Superior,1,4,2,23113,354288,57951,344873.0463126367,4583.340411417981,278332.76445384993,0.7,15.5,0.78,0
CL_0053,Sara Teixeira,26,AL,Vargas,27388,857,109,37,CLT,Superior,1,1,1,1694,328656,153773,1489654.9259286097,6648.71494196564,47978.950236771874,0.65,24.3,0.06,0
CL_0054,Davi Luiz Monteiro,43,BA,Borges,19344,826,115,66,PJ,Fundamental,1,0,3,16588,232128,5462,410696.5081401787,2931.240670622544,195188.43667247807,0.05,15.2,0.86,0
CL_0055,Dom Machado,19,MA,Sousa,28785,452,96,186,PJ,Médio,0,1,2,62756,345420,13467,672825.9063196504,7619.559774754361,111720.96644251898,0.1,26.5,2.18,0
CL_0056,Brayan Siqueira,37,SP,Viana do Oeste,28400,505,120,68,CLT,Fundamental,1,0,2,65085,340800,38154,1547681.264226217,4936.800136601118,243597.32178272773,0.13,17.4,2.29,0
CL_0057,Stephany Castro,45,PE,Camargo do Amparo,19617,754,239,12,CLT,Pós-graduação,0,0,1,62142,235404,6379,635017.8899107096,3271.4331607082127,218937.15183108632,0.09,16.7,3.17,1
CL_0058,Isaac Andrade,64,PI,Correia,3105,572,200,174,CLT,Médio,0,4,4,65373,37260,6225,28877.929072005325,196.47946158312794,14711.792027721649,0.18,6.3,21.05,0
CL_0059,Yan Santos,24,AC,Vasconcelos da Praia,7122,535,83,237,PJ,Médio,0,0,5,86603,85464,8685,163097.37644974093,722.4282037964311,46519.72785400832,0.69,10.1,12.16,0
CL_0060,Ágatha Vasconcelos,61,PA,Vieira Verde,8267,820,111,188,CLT,Superior,0,2,1,7704,99204,6644,360931.67979183834,3066.8699145073197,50381.56465335211,0.83,37.1,0.93,1
CL_0061,Alice Mendes,25,AL,Almeida do Campo,28639,977,53,30,CLT,Pós-graduação,0,2,2,41136,343668,12806,327688.3045702999,11438.333549925315,78291.14568392628,0.41,39.9,1.44,1
CL_0062,Heloisa Farias,64,MA,Moraes,13113,800,149,207,CLT,Superior,0,2,2,68507,157356,12855,470830.0594654675,4237.888208982353,98261.37532921894,0.69,32.3,5.22,1
CL_0063,Sophia Castro,52,CE,Moura das Flores,24870,416,172,113,CLT,Fundamental,0,4,1,48361,298440,55891,1046582.2999560658,3740.060492340816,228133.03484977572,0.2,15.0,1.94,0
CL_0064,Ana Beatriz Pinto,31,PR,Mendes,21401,685,37,223,CLT,Fundamental,0,1,4,59847,256812,44044,458379.24976698036,4084.504942740964,237243.4203517852,0.97,19.1,2.8,1
CL_0065,Anna Liz Vargas,34,PR,Gomes do Galho,12089,643,48,21,CLT,Médio,0,3,5,12441,145068,5184,507740.23037274065,3733.4000432258717,125227.87916475056,0.35,30.9,1.03,1
CL_0066,Otávio Sá,53,GO,Teixeira do Campo,15418,883,156,92,CLT,Médio,0,0,3,98012,185016,4937,820104.8862896608,5997.289707008802,101916.26676311472,0.85,38.9,6.36,1
CL_0067,Sra. Brenda Barros,67,AP,Sampaio da Prata,21619,694,71,213,PJ,Fundamental,0,3,1,15677,259428,1402,626096.283342412,4527.34093399937,192607.7504973287,0.95,20.9,0.73,1
CL_0068,Igor da Paz,57,PR,da Conceição,28946,363,95,170,CLT,Médio,1,1,5,28818,347352,868,686456.372713334,9851.274541528053,283920.2435187277,0.86,34.0,1.0,0
CL_0069,Srta. Kamilly Novaes,21,RO,Novais de Goiás,27236,371,66,66,Autônomo,Pós-graduação,1,1,5,2868,326832,138490,434907.55290038313,10656.74201156453,175083.24468115435,0.07,39.1,0.11,0
CL_0070,Sr. Henry Martins,19,RO,Silveira de da Conceição,14546,573,167,53,CLT,Médio,0,4,2,84591,174552,1610,534235.0471133875,5174.239261163224,33015.10227804706,0.65,35.6,5.82,0
CL_0071,Ana Júlia Pires,23,RS,Jesus das Flores,26318,619,214,137,PJ,Superior,1,2,3,68264,315816,82987,1393151.236576636,3408.244462434724,153098.08027228617,0.12,13.0,2.59,0
CL_0072,Vinicius Montenegro,59,RJ,Aragão,4090,637,51,41,PJ,Superior,0,2,1,74168,49080,20177,82986.43746790169,215.99761313795423,41993.08693868841,0.01,5.3,18.13,0
CL_0073,Théo Vieira,21,SC,Barros,18947,665,151,63,CLT,Médio,0,1,2,13043,227364,4693,464175.8996244074,4210.565225198006,143297.2117879461,0.05,22.2,0.69,1
CL_0074,Daniel Carvalho,46,MT,da Cruz do Campo,5824,794,76,125,CLT,Superior,1,4,2,72939,69888,8012,146238.19643561303,1374.325919327632,52235.7014647263,0.92,23.6,12.52,0
CL_0075,Otávio Camargo,35,MA,Rocha da Prata,12287,906,194,20,PJ,Médio,0,4,4,16732,147444,96669,419917.6331131168,1479.8171302340775,37327.27007007727,0.91,12.0,1.36,1
CL_0076,Joana Camargo,43,MS,Santos Verde,10611,465,7,207,CLT,Médio,1,0,5,56244,127332,45753,155243.672482095,1587.7879905316888,123169.4686433568,0.23,15.0,5.3,0
CL_0077,Sra. Heloisa Marques,61,PI,Azevedo,6842,843,102,203,Autônomo,Superior,0,2,1,19526,82104,11047,338993.8410073804,2174.4122742840154,37253.90881072546,0.55,31.8,2.85,1
CL_0078,Maria Júlia Pereira,51,SC,Melo de Rios,17889,310,72,193,CLT,Médio,1,1,1,10340,214668,61733,332402.9135656533,3839.3647388917375,146510.744524872,0.96,21.5,0.58,0
CL_0079,Luara da Mota,27,PB,Fonseca,25373,600,92,168,Autônomo,Pós-graduação,0,3,1,23394,304476,109125,1082801.052299945,4086.9288071162596,30640.3028730017,0.5,16.1,0.92,1
CL_0080,Maria Julia Cavalcante,53,SC,Novaes do Galho,10159,401,6,151,CLT,Médio,0,2,2,99557,121908,10429,318759.812779422,2721.7902341894087,24386.80023776655,0.39,26.8,9.8,0
CL_0081,Matheus Souza,31,AC,Siqueira,15543,724,128,34,PJ,Superior,0,0,4,5102,186516,83075,554120.0591960198,4328.195710497921,149249.74522503428,0.48,27.8,0.33,1
CL_0082,Levi Araújo,48,SE,Barros do Amparo,26079,691,233,183,PJ,Médio,1,4,3,20159,312948,39792,306714.9584327812,8326.725362480947,303759.42686694994,0.79,31.9,0.77,0
CL_0083,Sra. Nicole da Costa,65,GO,Camargo de da Paz,23850,513,41,29,PJ,Médio,0,1,2,66092,286200,42951,1059401.8326611028,2500.630846380968,107816.5223988047,0.48,10.5,2.77,0
CL_0084,Mathias Lima,32,MG,Vasconcelos,10337,990,165,56,CLT,Fundamental,1,2,3,7212,124044,201882,127050.89395420827,3199.6223430564346,14564.7098279664,0.78,31.0,0.7,0
CL_0085,Sra. Camila Carvalho,25,AL,Correia,1617,387,131,221,PJ,Superior,0,3,4,98360,19404,7192,12729.42807616186,420.09649851489144,8035.734249420706,0.43,26.0,60.83,0
CL_0086,Yuri Casa Grande,31,PI,Barbosa de Goiás,29004,852,26,46,CLT,Superior,0,0,5,38405,348048,31258,967131.2622287334,2034.635033434815,34577.10215673411,0.25,7.0,1.32,1
CL_0087,Bernardo Fonseca,40,AP,da Mata de da Cunha,15417,700,59,162,PJ,Superior,0,0,1,78061,185004,384,661492.1568397472,4965.907737773994,48040.97559751535,0.33,32.2,5.06,1
CL_0088,Maria Isis Fogaça,57,RR,da Rocha de Cirino,20435,887,102,18,CLT,Médio,0,2,3,95296,245220,48257,84643.96027160213,3761.635942165273,189579.42190385459,0.08,18.4,4.66,1
CL_0089,João Ramos,38,RJ,Rezende das Flores,15809,345,72,113,Autônomo,Superior,1,3,2,56186,189708,46178,83478.54739302775,2618.497266786034,178767.73534232157,0.5,16.6,3.55,0
CL_0090,Henry Cavalcante,33,SP,das Neves,14734,971,43,7,CLT,Superior,0,0,3,45239,176808,37204,713089.2772585698,3047.3787491913304,28907.222900002937,0.15,20.7,3.07,1
CL_0091,Elisa Freitas,62,MG,da Cunha,7060,762,184,25,Autônomo,Superior,0,1,5,93993,84720,58248,344324.12648107973,1208.398616023445,50386.57448242415,0.81,17.1,13.31,0
CL_0092,Gabriela Fernandes,35,MS,Leão de Montenegro,22173,891,176,112,Autônomo,Médio,0,0,1,11532,266076,105768,346429.11969143926,3733.93225262461,84095.30001218976,0.42,16.8,0.52,1
CL_0093,Sra. Joana Melo,64,SC,Vargas do Oeste,2346,609,62,231,Autônomo,Superior,0,3,3,80054,28152,3354,87682.73138963353,780.8125729489836,5934.559800238146,0.77,33.3,34.12,0
CL_0094,Yuri Jesus,41,RN,Cassiano de Albuquerque,12454,385,110,70,CLT,Superior,1,4,5,73012,149448,1940,339483.4417640735,1165.4059532546162,42452.97761376403,0.95,9.4,5.86,0
CL_0095,Anna Liz da Luz,43,PI,Mendonça Alegre,15203,391,190,29,CLT,Médio,0,4,2,86279,182436,23584,583833.6215465075,5924.76149107293,111824.0510668441,0.85,39.0,5.68,0
CL_0096,Dr. Gabriel Araújo,42,PE,Barros,16885,959,59,134,Outros,Superior,0,2,4,67540,202620,47362,876961.3426665065,4123.757285341276,28982.756625694106,0.95,24.4,4.0,1
CL_0097,Beatriz Rios,62,RS,Borges,15246,972,33,66,CLT,Superior,1,3,2,4271,182952,34239,89883.67369184765,1738.400747975968,88067.06388902063,0.57,11.4,0.28,0
CL_0098,Lucas Gabriel Gonçalves,58,ES,da Paz,24200,541,86,64,CLT,Médio,1,0,1,46482,290400,44866,1136080.718804531,2321.395140431385,60197.65392426463,0.17,9.6,1.92,0
CL_0099,Nicolas Barbosa,46,PR,Viana da Mata,7969,301,154,35,PJ,Fundamental,0,0,2,1209,95628,12099,240584.99731497595,2048.2588115542867,31871.597735847852,0.94,25.7,0.15,0
CL_0100,Ana Liz Novais,32,RN,Moura,10833,524,219,24,PJ,Médio,0,4,2,91999,129996,9042,372337.406288294,2941.69904131782,33563.85819519655,0.87,27.2,8.49,0
CL_0101,Bruno Silva,62,RN,Cassiano,27886,888,38,36,CLT,Superior,0,4,2,6539,334632,21739,1105712.3584397202,1911.8368278280564,298735.2026711284,0.86,6.9,0.23,1
CL_0102,André Barros,18,RN,Vieira de Teixeira,26799,415,215,0,PJ,Superior,0,1,2,20977,321588,44611,1486011.0130824437,3619.222903858066,235512.95221621657,0.69,13.5,0.78,0
CL_0103,Luiz Miguel Correia,42,TO,Peixoto Verde,18108,965,160,142,Autônomo,Médio,1,4,1,75142,217296,7608,82122.19323219433,5946.878564317416,191095.32417538876,0.62,32.8,4.15,0
CL_0104,Lorenzo Alves,24,PA,da Costa Verde,14319,402,154,36,CLT,Superior,0,1,5,69684,171828,14315,42000.626900914,964.6512656308397,74717.84760677248,0.01,6.7,4.87,0
CL_0105,Srta. Luana Moraes,26,AM,Moraes,5708,493,110,140,Autônomo,Superior,0,0,3,6607,68496,5363,66679.67302578964,1993.6961327514791,25386.59835243224,0.75,34.9,1.16,0
CL_0106,Sr. Enzo Gabriel da Costa,41,RS,Gonçalves,7783,465,108,231,CLT,Médio,0,1,4,86122,93396,16524,460777.9319179661,2182.0174941815594,40366.211516782525,0.09,28.0,11.07,0
CL_0107,Mateus da Costa,18,ES,Lima,3548,389,160,135,CLT,Superior,0,1,3,95786,42576,587,153438.5479456333,716.8668034772278,4271.898982732175,0.26,20.2,27.0,0
CL_0108,Henry Gabriel Teixeira,61,BA,Pimenta,7733,985,88,132,CLT,Pós-graduação,0,2,3,52939,92796,32849,288757.16269052966,1324.2878273822325,69378.51975696182,0.55,17.1,6.85,1
CL_0109,Pietra Leão,25,BA,Ramos dos Dourados,14441,421,222,187,CLT,Superior,0,4,4,19594,173292,28641,57271.50905730762,819.3410004296572,70002.70455024009,0.45,5.7,1.36,0
CL_0110,Luiz Felipe Araújo,41,AL,Lima Paulista,14107,442,137,127,Autônomo,Superior,0,1,1,59382,169284,37620,746142.9461933335,4779.807533902438,62727.6478676358,0.02,33.9,4.21,0
CL_0111,Yago Almeida,28,AM,Rocha,11265,405,165,200,CLT,Pós-graduação,0,0,4,8399,135180,32830,551873.5100006792,1125.9665897344535,85383.6501153896,0.82,10.0,0.75,0
CL_0112,Dom Viana,68,MS,Vieira das Pedras,3328,727,185,126,CLT,Superior,0,3,1,26117,39936,2752,134085.92730419192,526.9545121209603,19298.23676787296,0.88,15.8,7.85,1
CL_0113,Daniel Gonçalves,34,SP,Ribeiro das Flores,3417,604,222,0,CLT,Médio,0,1,3,99662,41004,5212,72238.42779486028,851.4734931648953,40283.959681431676,0.68,24.9,29.17,0
CL_0114,Caroline da Cruz,25,RS,Rezende Paulista,22118,616,16,163,CLT,Superior,0,4,1,34617,265416,166106,118236.00210681246,3010.202514931601,108793.65283119256,0.54,13.6,1.57,1
CL_0115,Benicio Cassiano,52,SE,Gomes,8488,934,122,34,CLT,Superior,0,2,5,8498,101856,29649,299679.56109581824,1901.30488971504,65806.22699526846,0.96,22.4,1.0,1
CL_0116,Luigi Pacheco,52,CE,Sousa,19910,308,140,193,CLT,Superior,0,0,4,51624,238920,166856,866444.1923657742,6635.405502065648,88164.70754451984,0.12,33.3,2.59,0
CL_0117,Sra. Maria Isis Martins,50,PI,Cunha,16094,372,82,190,CLT,Médio,0,2,5,10628,193128,52972,108495.00699415224,3455.1931328801397,191462.99172661343,0.74,21.5,0.66,0
CL_0118,Mirella Novaes,22,RN,Peixoto de Costela,21628,658,146,103,Autônomo,Superior,0,3,3,1329,259536,10023,831932.664431966,8264.968699516518,127523.47604819624,0.13,38.2,0.06,1
CL_0119,Dra. Amanda Pimenta,59,MA,Pacheco das Flores,26977,522,184,22,CLT,Fundamental,0,1,4,39619,323724,4319,486619.8879074424,9350.9084825624,215152.82223829118,0.38,34.7,1.47,0
CL_0120,Carolina Silveira,56,SP,Caldeira,14477,715,225,8,CLT,Pós-graduação,1,1,3,8032,173724,29948,667933.4591272338,2411.3431536245503,34657.04593420096,0.59,16.7,0.55,0
CL_0121,Dr. João Gabriel Almeida,58,MG,Sousa de Barbosa,28115,852,108,33,CLT,Médio,1,4,5,49094,337380,29883,925810.4188126342,5341.477296437094,254813.7338098092,0.74,19.0,1.75,0
CL_0122,Luiz Miguel Fogaça,45,PR,Fernandes do Campo,1509,669,219,173,PJ,Médio,1,1,3,39034,18108,1166,13260.1309529898,299.0300108769478,5977.61775067745,0.0,19.8,25.87,0
CL_0123,Melissa Fernandes,24,ES,Sousa,18144,563,207,205,CLT,Médio,0,0,4,87158,217728,71682,583499.1289487039,4883.689997851839,107680.02745275723,0.26,26.9,4.8,0
CL_0124,Marcos Vinicius Moreira,26,PR,da Rocha,23922,989,72,127,CLT,Fundamental,1,3,4,56264,287064,26253,585355.2540329682,3597.3546017768876,256311.40028697194,0.54,15.0,2.35,0
CL_0125,Eloá Teixeira,25,AL,Moraes de das Neves,11365,617,46,3,CLT,Superior,0,2,3,95120,136380,10399,134163.04007583327,4423.680761951234,132698.62264836096,0.53,38.9,8.37,0
CL_0126,Pedro Duarte,29,PE,Monteiro,3719,383,75,157,Outros,Pós-graduação,0,3,4,48850,44628,16932,188483.10229387772,978.243815748547,21087.820114187165,0.64,26.3,13.14,0
CL_0127,Liz Teixeira,51,PA,Cavalcante,8541,617,47,222,CLT,Superior,0,1,4,5722,102492,38386,15787.805943509993,1621.0013485578074,86971.54545699322,0.3,19.0,0.67,1
CL_0128,Manuella Vasconcelos,50,SC,Azevedo Verde,19944,410,230,101,PJ,Médio,1,2,3,18772,239328,21090,389967.8776185484,5499.6265160573375,31647.91582032665,0.54,27.6,0.94,0
CL_0129,Sra. Milena Costa,65,PB,Vasconcelos da Praia,6787,550,186,74,CLT,Médio,0,4,5,87105,81444,29104,13170.772414486884,1278.6148322627942,70064.33434205163,0.19,18.8,12.83,0
CL_0130,Jade Pinto,40,MT,Abreu,29789,682,109,98,CLT,Superior,0,3,4,42679,357468,136003,203911.91465294088,10015.91043924357,236066.3128526581,0.19,33.6,1.43,1
CL_0131,Srta. Laís Rocha,41,RO,da Rosa de da Luz,3119,306,86,71,PJ,Pós-graduação,1,2,4,69771,37428,4128,58229.41472692938,775.8335845862866,19886.019931347473,0.58,24.9,22.37,0
CL_0132,Mirella Moraes,54,MG,Pacheco dos Dourados,10012,758,84,2,CLT,Médio,1,2,4,5576,120144,1652,43964.15075736242,647.67303803554,108025.48277417538,0.69,6.5,0.56,0
CL_0133,Francisco Cavalcanti,52,PA,Farias do Amparo,2842,383,109,141,Autônomo,Médio,0,2,4,27707,34104,10,103113.08960998892,317.9200560261164,29268.93224999551,0.12,11.2,9.75,0
CL_0134,Erick Martins,61,SC,Almeida,12068,507,187,187,Autônomo,Médio,0,0,3,42632,144816,21457,76119.38052634253,4256.961543282148,51486.86759764477,0.12,35.3,3.53,0
CL_0135,Liam Almeida,57,MS,Nogueira,20716,689,23,204,Autônomo,Superior,0,3,5,42476,248592,20966,879617.139026818,5117.161480982541,201077.20661519395,0.57,24.7,2.05,1
